Ancestry_Cohort,Parameterized_PaCO2,Parameterized_R_stress,Terminal_ATP,Terminal_Glutamate,Simulated_Bifurcation
EUR,39.49802849180674,0.6348286247666818,95.84508392714751,0.1443981178064731,False
EUR,39.117041419297294,0.6283323592535667,80.22541180289973,0.14287539212076128,False
EUR,39.588613122860416,0.5063480154194508,152.38364247247233,0.11170643400540349,False
EUR,40.11381791384482,0.6579584221763738,130.64428154126014,0.1502037332260329,False
EUR,39.059507975166,0.45099173244233814,159.82561345542612,0.09829183693392335,False
EUR,39.0595178258305,0.5345815674239671,109.9034954757407,0.1188312645186725,False
EUR,40.14752768930444,0.4000912187102192,243.3811763616595,0.08615336525097221,False
EUR,39.66046083749175,0.7558626516962814,56.60015026272414,0.17746945454045543,False
EUR,38.91831536843903,0.5768450506054704,84.89295595877212,0.1296197176716326,False
EUR,39.525536026151585,0.8166884034816312,39.87021600561123,0.19533375063611708,False
EUR,38.921949384312526,0.6802949926519495,59.322174286146016,0.15690711086450393,False
EUR,38.92056214785785,0.6448098213351025,72.60061240328706,0.1472750709574986,False
EUR,39.34517736293962,0.5413772305719,118.20523354363102,0.12047914223342215,False
EUR,38.05203185320532,0.495364996431258,74.55197648178867,0.10943138238721878,False
EUR,38.165049300492186,0.6522971573896945,28.143951201842512,0.15107261511681364,False
EUR,38.862627482455416,0.5928485990727017,83.00732265163984,0.13371040067781698,False
EUR,38.59230132779935,0.46607296845146984,109.27012021752479,0.10207015792648731,False
EUR,39.388548399557166,0.4483141583491681,173.42771965071358,0.09762599813026544,False
EUR,38.65518555468728,0.5041296270856416,100.48009400940542,0.11136993031591484,False
EUR,38.35261777919883,0.7820967225266231,0.34302651290480224,0.5859205423351689,True
EUR,40.07938926135294,0.8213277918011304,78.83623108608177,0.19523642962254378,False
EUR,39.06453421970808,0.6204989147308909,88.23095687529188,0.14075717197171655,False
EUR,39.24051692281276,0.6148942796241288,107.25846882759869,0.13915396701795013,False
EUR,38.345151088271926,0.5663679628170478,65.6840434932108,0.12721286818366445,False
EUR,38.87337036528489,0.5065514651690497,123.64184349703801,0.1118498006368492,False
EUR,39.26655355382592,0.7375179057607244,61.60930950990173,0.17228746144311832,False
EUR,38.50940385354662,0.7873576393897136,0.23328561162809552,0.8759227588324551,True
EUR,39.425418811007404,0.5106580914160714,144.47930745453402,0.11278542569984984,False
EUR,38.83961678604872,0.5917161621575399,67.65392594268963,0.13362472618934593,False
EUR,39.024983750124036,0.5550133699289832,105.86264821322881,0.12395269684879141,False
EUR,38.838976032662366,0.5579760925135022,101.93687575006057,0.12472097703314179,False
EUR,40.31136691070537,0.7185908255429863,127.57602805281402,0.16633451135071775,False
EUR,39.19190166515724,0.4688038454633878,154.3893575947322,0.10257961508873115,False
EUR,38.56537344262646,0.6466469690936306,41.026931727828774,0.14863955514940508,False
EUR,39.693526947261915,0.6728238107305865,79.74358859890283,0.1545418038037299,False
EUR,38.46749381001739,0.5857848826398181,60.151250674191566,0.13224603627118128,False
EUR,39.325318157002854,0.6893067826986773,67.9985855651015,0.15911759379537393,False
EUR,38.02419792567214,0.614765184053745,27.30684541113162,0.14125442316111492,False
EUR,38.403088370660946,0.7217129921156112,12.111840710680434,0.17439522840429206,False
EUR,39.31811674152148,0.44777946950741454,183.29027875701843,0.09748195394678563,False
EUR,39.64307994799725,0.565122473899313,139.19804160066468,0.12633363424326924,False
EUR,39.30282096871399,0.5928186857148965,105.46607383725411,0.133511530000505,False
EUR,39.13061103056706,0.332779261552865,197.84510462058745,0.07068195209599117,False
EUR,39.01933778264643,0.4914047266421465,132.38229192922705,0.10811646166443752,False
EUR,38.31288680577955,0.5186400745641213,75.97506170634314,0.1151420752128178,False
EUR,38.76809347496318,0.694820599482335,38.371762774388515,0.16163174343872022,False
EUR,38.92361673742413,0.5293156653685399,114.85387128871346,0.1174994716458211,False
EUR,39.83427333573135,0.5181921012694023,169.84618321854347,0.11457266348911817,False
EUR,39.40617097374108,0.6817485780656192,82.52653440199164,0.15687141671479674,False
EUR,38.14217590678236,0.4382089354209945,108.29556183171782,0.09539701897478667,False
EUR,39.39445038163688,0.39287559325564275,175.31610097831063,0.08454211260667922,False
EUR,38.96895063175021,0.5638407699930653,105.3876483728204,0.12617274455626307,False
EUR,38.79384679981643,0.45522932319216447,127.53481345720022,0.09939139415734338,False
EUR,39.56700577330452,0.45903207053403505,165.12276000112755,0.10020678915551902,False
EUR,39.818599713497576,0.6573433791687981,101.33930900075534,0.1502307881255524,False
EUR,39.758768071469724,0.6875973837912579,100.81228202172356,0.15822935614239259,False
EUR,38.69646948606642,0.6788864215852125,37.93376669612341,0.1573763760670091,False
EUR,39.014472574489275,0.7108776660307232,30.31402299009103,0.1666331203210086,False
EUR,39.39875805884214,0.7241134320014802,65.62730985758591,0.16853918808592241,False
EUR,39.78532707627342,0.3871409791173069,202.62179044346814,0.08317238309191044,False
EUR,38.91249545729283,0.6450411959929466,66.06164765557392,0.1474488344745466,False
EUR,39.08860461400171,0.5470391800430441,115.35305379786503,0.1219049352389467,False
EUR,38.53619901559639,0.5252575754009564,98.52235800257667,0.11658751799594815,False
EUR,38.4822760255516,0.6560414632208705,51.139188617504196,0.15071153210447832,False
EUR,39.68751549343652,0.42697045201042483,182.06528778289095,0.0925394160232377,False
EUR,40.0137440171425,0.42488913941276796,214.77441689102983,0.09200575952519696,False
EUR,39.1567939270518,0.6633572744081717,68.93136388817028,0.15221055471333406,False
EUR,39.802119738735215,0.6487786017510898,118.68067479649542,0.1478669131108892,False
EUR,39.41698161502858,0.613673265587151,107.7307977910492,0.1388365898639384,False
EUR,38.81292814723693,0.5120086595276863,108.83257621466672,0.11325787592903219,False
EUR,39.41683736330505,0.6743829634582124,77.8384483730669,0.15498168703841012,False
EUR,40.122821939879586,0.6680302892060476,114.73567251024004,0.152942017570583,False
EUR,39.17850437653403,0.6085304515047454,102.8397245186695,0.13754915122136988,False
EUR,40.13878619348841,0.4822678958730228,204.9129216919571,0.10574150239081778,False
EUR,37.628152937546155,0.5574751654270493,38.528169670808836,0.1257102317775635,False
EUR,39.69314150262514,0.6837833677524443,91.30500446245476,0.15730801353945295,False
EUR,39.252228240942905,0.7327191222801787,43.67216455910993,0.17163226922639502,False
EUR,39.020595589720486,0.5673463396623671,92.22871015594244,0.1271511099277239,False
EUR,39.25505646592131,0.5750327032191738,114.8827354647895,0.12893995168177821,False
EUR,38.00745865123947,0.5838310891974938,33.367209500443934,0.13272461740548475,False
EUR,39.068196867297495,0.6274893008910972,96.44202364012595,0.14248873994563832,False
EUR,39.41426754290705,0.5418932699939976,121.92112576737875,0.1205904859974352,False
EUR,40.086736426844915,0.3105814942428416,267.5539165940073,0.06561555256259206,False
EUR,38.88903786903582,0.7192769001647097,47.55225516636863,0.16778275938185253,False
EUR,38.71490383826409,0.7794688947162549,6.448463217450247,0.19883591363079614,False
EUR,38.89894577384928,0.5387600140394287,107.4387233258466,0.11988384736857086,False
EUR,39.74924127062125,0.4933346631081226,163.23634918255001,0.1085018597235615,False
